Raúl;Efectivo;292.71
María;Efectivo;179.34
Laura;Bizum;309.37
Lucía;Efectivo;415.51
Miguel;Efectivo;401.4
Carlos;Tarjeta de Crédito;167.67
Antonio;Efectivo;194.23
Antonio;Bizum;25.36
María;Tarjeta de Crédito;27.64
Carlos;Bizum;171.56
Miguel;Tarjeta de Crédito;252.86
Lucía;Bizum;231.37
Elena;Tarjeta de Crédito;206.11
Lucía;Tarjeta de Crédito;60.54
Raúl;Tarjeta de Crédito;13.39
Raúl;Tarjeta de Crédito;135.22
Roberto;Tarjeta de Crédito;217.03
Miguel;Bizum;200.49
María;Tarjeta de Crédito;52.05
Lucía;Tarjeta de Crédito;481.21
Ana;Tarjeta de Crédito;375.04
Elena;Bizum;308.51
Teresa;Bizum;419.65
Luis;Tarjeta de Crédito;15.89
Carmen;Bizum;382.89
María;Efectivo;328.3
Miguel;Bizum;304.55
Lucía;Tarjeta de Crédito;26.6
Carmen;Bizum;417.67
Lucía;Efectivo;466.69
Teresa;Bizum;273.14
Carlos;Efectivo;460.18
Laura;Efectivo;143.46
María;Tarjeta de Crédito;10.13
Marta;Bizum;452.87
Laura;Efectivo;237.59
Isabel;Tarjeta de Crédito;275.5
Sofía;Efectivo;451.22
Carmen;Tarjeta de Crédito;147.91
Carlos;Efectivo;289.05
Jorge;Efectivo;335.28
Pedro;Bizum;447.33
Laura;Efectivo;233.23
María;Bizum;117.22
Antonio;Tarjeta de Crédito;44.94
Jorge;Tarjeta de Crédito;150.07
Ana;Efectivo;490.36
Carmen;Efectivo;108.94
Elena;Efectivo;193.19
Isabel;Bizum;376.89
Jorge;Tarjeta de Crédito;82.86
Marta;Efectivo;233.66
Ana;Tarjeta de Crédito;4.49
Diego;Efectivo;94.73
Elena;Bizum;44.24
Sofía;Tarjeta de Crédito;311.45
Marta;Tarjeta de Crédito;168.55
Marta;Tarjeta de Crédito;280.66
Antonio;Bizum;330.79
Sofía;Efectivo;133.39
Raúl;Tarjeta de Crédito;492.58
Miguel;Bizum;377.26
Juan;Bizum;326.88
Juan;Bizum;259.31
Jorge;Efectivo;408.99
Carlos;Bizum;134.61
Raúl;Tarjeta de Crédito;286.39
Elena;Tarjeta de Crédito;299.85
Carlos;Tarjeta de Crédito;211.26
Miguel;Efectivo;160.29
Jorge;Efectivo;361.49
Carlos;Tarjeta de Crédito;171.54
Marta;Tarjeta de Crédito;143.52
Raúl;Efectivo;370.76
Teresa;Tarjeta de Crédito;151.1
Elena;Tarjeta de Crédito;338.5
Carmen;Tarjeta de Crédito;351.02
Diego;Bizum;322.74
Isabel;Tarjeta de Crédito;38.86
Teresa;Efectivo;233.65
Diego;Efectivo;151.06
Juan;Tarjeta de Crédito;254.53
Jorge;Bizum;244.94
Jorge;Tarjeta de Crédito;493.18
Isabel;Efectivo;408.69
Laura;Efectivo;138.48
Laura;Bizum;237.69
María;Efectivo;339.38
Sofía;Bizum;432.73
Miguel;Bizum;42.82
Laura;Efectivo;2.72
Sofía;Efectivo;374.79
Raúl;Efectivo;231.2
