Laura;Tarjeta de Crédito;1771.81
Lucía;Bizum;58.54
Lucía;Bizum;1834.03
Lucía;Efectivo;546.15
Juan;Bizum;390.71
Diego;Tarjeta de Crédito;35.98
Raúl;Tarjeta de Crédito;1901.81
Sofía;Bizum;989.61
Miguel;Efectivo;1917.46
Jorge;Tarjeta de Crédito;397.96
Carlos;Bizum;1071.41
Laura;Tarjeta de Crédito;1839.65
Luis;Bizum;1638.52
Jorge;Bizum;1541.26
Diego;Bizum;1608.37
María;Bizum;648.48
Antonio;Tarjeta de Crédito;330.18
Carmen;Bizum;1956.95
Jorge;Efectivo;94.43
Luis;Bizum;908.66
Juan;Efectivo;1544.45
Raúl;Efectivo;801.46
Diego;Bizum;633.55
Roberto;Bizum;854.55
Ana;Bizum;519.57
Elena;Efectivo;1789.61
Marta;Efectivo;991.93
Antonio;Efectivo;1230.99
Miguel;Bizum;615.53
Ana;Efectivo;357.15
Raúl;Bizum;705.79
Pedro;Tarjeta de Crédito;1894.54
Elena;Bizum;1548.75
Isabel;Efectivo;1656.88
Sofía;Efectivo;271.88
Lucía;Efectivo;1243.43
Teresa;Efectivo;1843.49
Juan;Tarjeta de Crédito;1574.51
Roberto;Efectivo;1641.95
Roberto;Tarjeta de Crédito;710.66
Luis;Bizum;57.21
Antonio;Tarjeta de Crédito;625.45
Miguel;Efectivo;904.15
Roberto;Bizum;1527.45
Carmen;Bizum;1411.7
Isabel;Tarjeta de Crédito;620.5
Antonio;Bizum;517.15
Roberto;Efectivo;34.73
Laura;Tarjeta de Crédito;1045.32
Marta;Bizum;1327.81
Miguel;Bizum;1777.64
Ana;Bizum;600.59
María;Tarjeta de Crédito;289.83
Elena;Tarjeta de Crédito;1711.66
Isabel;Efectivo;536.49
Sofía;Efectivo;622.91
Miguel;Efectivo;732.05
Teresa;Tarjeta de Crédito;366.36
Juan;Efectivo;34.65
Raúl;Efectivo;591.06
Elena;Tarjeta de Crédito;199.47
Carlos;Tarjeta de Crédito;212.53
Antonio;Bizum;317.14
María;Efectivo;819.3
Carlos;Bizum;1977.95
Pedro;Tarjeta de Crédito;657.95
Luis;Bizum;994.97
Carmen;Tarjeta de Crédito;978.92
Luis;Efectivo;527.32
Carmen;Tarjeta de Crédito;168.92
